id,wisata_id,nama,latitude,longitude,htm_weekday,htm_weekend,deskripsi,image,image2,image3,url_maps,alamat,operating_hours,rating,kategori,jeniswisata,jumlahrating,descitinerary,durasi,things,rekomendasi
11,37,Situs Warungboto,-7.8102685,110.3931513,0,0,"Situs Warungboto merupakan petilasan yang dibangun pada masa pemerintahan Sultan Hamengkubuwono I. Kemudian, pembangunannya diteruskan pada masa pemerintahan Sultan Hamengkubuwono II. Dulunya, tempat ini khusus dijadikan sebagai tempat pemandian. Dikarenakan adanya sumber mata air di lokasi tersebut. Situs Warungboto berada di tengah Kota Jogja, tepatnya di Umbulharjo. Objek wisata ini merupakan peninggalan berBudaya dan Sejarah yang dulu dibangun oleh keluarga keraton. Saat ini, area situs telah dibersihkan dan direnovasi sehingga dapat dikunjungi wisatawan. Tentunya tempat ini begitu menarik karena bangunannya yang unik dan instagramable.",https://lh5.googleusercontent.com/p/AF1QipMweIfmCm5o5KlY4BSRBiRKq_0oBE03QFifDET0=w408-h306-k-no,https://asset-2.tstatic.net/jogja/foto/bank/images/warungboto-4_20160831_152515.jpg,https://asset.kompas.com/crops/vlEvxnin8RWZAzV_j7HEAfJ3a3Y=/0x9:700x476/750x500/data/photo/2021/07/03/60e011aa0ecc0.jpg,https://goo.gl/maps/5q1izr22rRoSDcko9,"Jl. Veteran No.77, Warungboto, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55164",Senin-Minggu 08.00-17.00,4.4,Wisata Budaya & Edukasi,budaya&sejarah,5392,Mengunjungi situs bersejarah Warungboto,1 Jam," Kawasan Belajar Ilmu Sejarah Secara Mendalam, Jelajahi setiap sudut ruangan, mencoba kuliner khas yang tersedia disana",malam
12,43,Pantai Indrayanti,-8.1508415,110.6129852,12000,12000,"Pantai kecil berpasir putih yang dikelilingi pepohonan dan bebatuan besar, serta beragam restoran & pertokoan",https://lh5.googleusercontent.com/p/AF1QipPOblsaPHUWRM2LEmq0TeNtjYOYz0Klo7O25cfv=w411-h240-k-no,https://cdn2.tstatic.net/tribunnewswiki/foto/bank/images/pantai-indrayanti-ii.jpg,https://sikidang.com/wp-content/uploads/Pantai-Indrayanti-Yogyakarta.jpg,https://goo.gl/maps/7W6LCxB7vrtMvavZA,"Ngasem, Sidoharjo, Kec. Tepus, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55881",Buka 24 Jam,4.4,Wisata Alam,pantai,4793,Menikmati keindahan pantai Indrayanti,2 Jam,"bersantai di hammock, berenang dipinggiran pantai, abadikan keseruan liburanmu di pantai indrayanti",pagi
13,49,Malioboro,-7.7982487,110.3652793,3000,3000,"Malioboro adalah jantung Kota Jogja. Meskipun terkenal sebagai surga belanja cendera mata dan barang kerajinan, ternyata tak sedikit wisatawan dan orang lokal mendatangi Malioboro pagi-pagi sekali untuk berolahraga atau sekedar menikmati udara segar sambil mencari sarapan",https://lh5.googleusercontent.com/p/AF1QipMMLhun9fE-K4yg82IirCisQOABidfFSlJ6-Z2b=w408-h271-k-no,https://sikidang.com/wp-content/uploads/Malioboro-Yogyakarta.jpg,https://www.nativeindonesia.com/foto/2018/09/Malioboro-Feature.jpg,https://goo.gl/maps/9EaZ1nrkqj7WeV9q9,"Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta",Buka 24 Jam,4.7,Wisata Belanja,belanja,3752,Menikmati suasana kota dan berbelanja di Malioboro,2 Jam,"keliling dengan delman, menikmati suasana kota, mencoba kuliner lokal yang tersedia",malam
14,50,Blue Lagoon Jogja,-7.7044358,110.45026,3000,3000,"Blue Lagoon Jogja merupakan salah satu obyek wisata yang di jadikan tempat pemandian sumber mata air ini yang muncul dari permukaan tanah di dalam kolam. Apabila Anda melihat ke dalam kolam akan terlihat gelembung-gelembung kecil yang muncul dari permukaan tanah. Hal itu menunjukkan bahwa terdapat air yang terus menerus muncul dari permukaan tanah tersebut. Meskipun Blue Lagoon di Jogja ini sudah lama namun tempat wisata ini mulai tenar dipertengahan tahun 2014. Pemandian Blue Lagoon ini terletak di Desa Dalem, Widodomartani, Ngemplak, Sleman, Yogyakarta",https://lh5.googleusercontent.com/p/AF1QipNsp6Y5n_iIfWK8d-DhmR1q4krhkukFQExOJhXA=w408-h306-k-no,https://cdn-cms.pgimgs.com/areainsider/2022/10/Alt-Text-Blue-Lagoon-Jogja-Sensasi-Mandi-Ala-Raja-di-Alam-Terbuka-.png,https://visitingjogja.jogjaprov.go.id/web/wp-content/uploads/2020/04/672.jpg,https://goo.gl/maps/caY2pkyywbyesC6h6,"Area Sawah, Widodomartani, Kec. Ngemplak, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55584",Senin-Minggu 06.00-17.00,4.3,Wisata Alam,sungai rekreasi,3585,Menikmati rekreasi alam di Blue Lagoon,1 Jam,nikmati keindahan dan keasrian kawasan sungai blue lagoon,pagi
15,52,Pantai Pok Tunggal,-8.1554468,110.6217582,10000,10000,"Pantai Pok Tunggal adalah salah satu pantai populer di Gunungkidul. Pantai ini terletak di Desa Tepus, Kecamatan Tepus. Posisinya sejajar dan tak jauh dari Pantai Indrayanti dan Pantai Watulawang yang tak kalah populer. Nama Pok Tunggal berasal dari keberadaan pohon duras di kawasan pantai tersebut. Pohon jenis ini dikenal sangat sulit tumbuh di daerah pesisir. Karena hanya satu-satunya, pohon ini kemudian menjadi semacam maskot bagi pantai ini. Yang menjadi ciri khas pantai ini adalah bentuknya yang sempit dan memanjang. Di samping itu, lokasinya yang dikelilingi bukit kapur dan karang menjadikan Pok Tunggal tampak lebih eksotis. Pantai ini cocok sebagai destinasi berbagai macam kegiatan rekreasi.",https://lh5.googleusercontent.com/p/AF1QipMjyvjHJ1YEXYgmc_60JHzjXf-K74xW1g5-Iq6X=w408-h255-k-no,https://asset.kompas.com/crops/si-b-EnxjVZThPpUwFTP8FcSPKs=/0x45:1600x1112/750x500/data/photo/2019/06/12/963103035.jpg,https://panduanwisata.b-cdn.net/wp-content/uploads/2021/08/Tebing-di-Pantai-Pok-Tunggal-via-Gmap.jpg,https://goo.gl/maps/MAPgUfvSc7hUCwZW9,Daerah Istimewa Yogyakarta,Buka 24 Jam,4.5,Wisata Alam,pantai,3467,Menikmati satah satu pantai tercantik di Jogja,2 Jam,"kunjungi aliran sungai bawah tanah, abadikan foto yang indah, coba wahana snorkling dan diving, camping dan nikmati sunset",pagi
16,60,Candi Sewu,-7.7439217,110.4929095,10000,10000,"Candi Sewu adalah candi Buddha yang dibangun pada abad ke-8 Masehi yang berjarak hanya delapan ratus meter di sebelah utara Candi Prambanan. Candi Sewu merupakan kompleks candi Buddha terbesar kedua setelah Candi Borobudur di Jawa Tengah. Candi Sewu berusia lebih tua daripada Candi Borobudur dan Prambanan. Meskipun aslinya memiliki 249 candi, oleh masyarakat setempat candi ini dinamakan ""Sewu"" yang berarti seribu dalam bahasa Jawa. Penamaan ini berdasarkan kisah legenda Loro Jonggrang.",https://lh5.googleusercontent.com/p/AF1QipNL7_ITIjDs1hiVQGHV26XdoqX0lndKfKK-pZeU=w408-h272-k-no,https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/jawapos/2022/12/candi-sewu-klaten.jpg,https://3.bp.blogspot.com/-K2-UaVW24TU/XDpx2lCpDRI/AAAAAAAABXY/ADIRhx_Vo28mjE6lUif5l8Vd8Nbc719VgCLcBGAs/s1600/wisata%2Bcandi%2Bsewu.jpg,https://goo.gl/maps/5EjNgs2zjz8gG2gX9,"Jl. Raya Solo - Yogyakarta No.KM.16, Bugisan, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta",Senin-Minggu 06.00-17.00,4.6,Wisata Budaya & Edukasi,candi,2968,Mengunjungi situs Candi Sewu,1 Jam,pelajari sejarah candi sewu dan nikmati keindahan bangunan candi,siang
17,64,Pantai Timang,-8.1759266,110.6624196,5000,5000,"Begitu memasuki wilayah pantai, pengunjung akan disambut dengan indahnya perpaduan warna alam. Air di bibir pantai yang berwarna hijau toska, dan semakin berwarna biru ke tengah laut. Tidak perlu ditanya lagi, tentu airnya begitu jernih dan bersih. Selain itu, terdapat pula perbukitan yang ditumbuhi banyak pohon, begitu menyejukkan dipandang mata. Batu – batu karang yang besar membentang dengan gagahnya. Siap menghadang besarnya ombak yang menghantam pantai. Yang paling khas dari pantai ini adalah keberadaan gondola untuk menyeberang menuju Pulau Timang. Gondola ini membentang dari Pantai menuju ke Pulau Timang yang berupa batu karang. Gondola ini terbuat dari kayu sederhana, dengan tali tambang yang ditarik manual. Wahana lain yang juga memacu adrenalin adalah Jembatan Gantung. Jembatan ini juga menghubungkan area pinggir pantai dengan Pulau Timang. Dimana jembatan ini menjadi alternatif bagi pengunjung yang ingin menyeberang selain menggunakan gondola.",https://lh5.googleusercontent.com/p/AF1QipP_wxy1iKr2c3J2HVtH9OR5YS_1Kl-B20cytphO=w408-h272-k-no,https://mytrip123.com/wp-content/uploads/2019/05/pantai-timang.jpg,https://bogordaily.net/wp-content/uploads/2022/02/Pantai-TImang.jpg,https://goo.gl/maps/196WDGQ7a1L7ZewF9,"Jl. Pantai Sel. Jawa, Pantai, Purwodadi, Kec. Tepus, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55881",Buka 24 Jam,4.5,Wisata Alam,pantai,2656,Menikmati pantai yang menjadi daya tarik mancanegara di Pantai Timang,2 Jam,"nikmati keindahan pantai, mencoba wahana gundala dan menyebrang jembatan gantung, coba lokasi foto yang indah namun ekstrem",siang
18,86,Affandi Museum,-7.782713,110.396397,30000,30000,"Museum Affandi merupakan salah satu museum seni di Daerah Istimewa Yogyakarta, Indonesia. Museum yang berada di tepi Sungai Gajah Wong ini menyimpan berbagai macam lukisan karya Affandi. Selain itu, museum ini juga menyimpan banyak benda peninggalan Affandi lainnya seperti mobil, sepeda onthel dan masih banyak lagi. Ada lebih dari 300 lukisan termasuk beberapa potret diri dan karya dari seniman terkenal lainnya seperti Sudjojono, Hendra Gunawan, dan Barli. Jangan lupa untuk mengambil foto rumah Affandi yang ikonis dengan atap yang berbentuk pelepah pisang.",https://lh5.googleusercontent.com/p/AF1QipP1U5Bl1qN8FWFwDbOT-kA73snICB95swOU_EH3=w426-h240-k-no,https://mytrip123.com/wp-content/uploads/2022/06/museum-affandi.jpg,https://sikidang.com/wp-content/uploads/Museum-Affandi-Yogyakarta-1.jpg,https://goo.gl/maps/JhRb8AQKCFZXNgAw6,"Jl. Laksda Adisucipto No.167, Papringan, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Senin-Sabtu 09.00-16.30,4.6,Wisata Budaya & Edukasi,museum kesenian,1848,Menikmati keindahan karya lukis seniman Affandi,1 Jam,"jelajahi setiap sudut ruangan museum, nikmati keindahan karya lukis affandi, dan abadikan foto yang terbaik",malam
19,88,Sentra Gerabah Kasongan,-7.8452187,110.3341234,0,0,"Kasongan mulanya merupakan tanah persawahan milik penduduk desa di selatan Yogyakarta. Pada Masa Penjajahan Belanda di Indonesia, di daerah persawahan milik salah satu warga tersebut ditemukan seekor kuda yang mati. Kuda tersebut diperkirakan milik Reserse Belanda. Karena saat itu Masa Penjajahan Belanda, maka warga yang memiliki tanah tersebut takut dan segera melepaskan hak tanahnya yang kemudian tidak diakuinya lagi. Ketakutan serupa juga terjadi pada penduduk lain yang memiliki sawah di sekitarnya yang akhirnya juga melepaskan hak tanahnya. Karena banyaknya tanah yang bebas, maka penduduk desa lain segera mengakui tanah tersebut. Penduduk yang tidak memiliki tanah tersebut kemudian beralih profesi menjadi seorang pengrajin keramik yang mulanya hanya mengempal-ngempal tanah yang tidak pecah bila disatukan. Sebenarnya tanah tersebut hanya digunakan untuk mainan anak-anak dan perabot dapur saja. Namun, karena ketekunan dan tradisi yang turun temurun, Kasongan akhirnya menjadi Desa Wisata yang cukup terkenal.",https://lh5.googleusercontent.com/p/AF1QipOYDC1M5OSIrcePtsgEeSEHJ2rkmQoS0TF-iEFI=w532-h240-k-no,https://niagatour.com/wp-content/uploads/2020/04/tiket-masuk-desa-wisata-kasongan.jpg,https://wonderfulimage.s3-id-jkt-1.kilatstorage.id/1638432377-sentra-kerajinan-rajut--kasongan--bantul--yogyakarta--d-jpg-medium.jpg,https://goo.gl/maps/pGC3uN8wwKpRPB4eA,"Sentanan, Bangunjiwo, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55184",Senin-Minggu 08.00-21.00,4.6,Wisata Belanja,belanja,1000,Belanja barang dari gerabah yang unik di Kasongan,1 Jam,"jelajahi seluruh outlet yang tersedia dengan barang-barang yang unik dan khas, interaksi dengan pembuat barang unik, pelajari cara membuatnya",malam
20,90,Museum Sonobudoyo Unit I,-7.8024499,110.3639555,20000,20000,"Museum Sonobudoyo unit pertama yang ada di dekat Alun-Alun Keraton Yogyakarta yang memiliki bentuk seperti bangunan rumah joglo dengan gaya Masjid Keraton Kasepuhan Cirebon. di museum ini terdapat koleksi alat musik seperti replika andong, wayang Rama, Sinta dan juga Lesmana, Anoman hingga Rahwana. Kemudian koleksi keris, koleksi batik dan koleksi buku kebudayaan.",https://lh5.googleusercontent.com/p/AF1QipP-dpm7PuELDsX2VmYiGJCeUTk3WwaIClo4X79n=w408-h272-k-no,https://cdn.idntimes.com/content-images/community/2022/05/fromandroid-35b070d2982c8847f44071c58bb070fc.jpg,https://borobudurtour.co.id/wp-content/uploads/2020/12/sonobudoyo_016.jpg,https://goo.gl/maps/XvkAknEmyotqjUq97,"Jl. Pangurakan No.6, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122",Selasa-Minggu 08.00-21.00,4.6,Wisata Budaya & Edukasi,museum sejarah,1711,Mempelajari sejarah di Museum Sonobudoyo,1 Jam,kunjungi setiap sudut ruangan museum dan pelajari sejarah dan budaya yang tersedia,siang
21,134,Desa Wisata Krebet,-7.8565411,110.2980059,0,0,"Desa ini terkenal dengan hasil kerajinan batik kayunya. Gak cuma kain saja yang bisa dijadikan batik, kayu pun gak kalah cantik, lho. Kayu tersebut disulap menjadi topeng, wayang, cermin, gantungan kunci, dan masih banyak lagi yang lainnya. Biar lebih seru, kamu bisa ikut membatik di atas kayu. Proses pembuatannya gak jauh beda dengan membatik di atas kain. Produk di sini unik, gak heran kalau sudah merambah ke pasar mancanegara.",https://lh5.googleusercontent.com/p/AF1QipP3Jvgb7Guyu24943w4AyLUq1kXdEWRPHzCD5g7=w426-h240-k-no,https://asset-2.tstatic.net/jogja/foto/bank/images/melihat-lebih-dekat-desa-wisata-krebet-sentra-penghasil-kerajinan-batik-kayu_20181105_223348.jpg,https://www.jogjasuper.co.id/wp-content/uploads/2022/12/Desa-Wisata-Batik-Kayu-Krebet.jpg,https://goo.gl/maps/wDhCWjA8yZnPt4aMA,"48Q2+J5P, Desa Wisata Krebet RT. 04, Sendangsari, Pajangan, Krebet, Sendangsari, Kec. Pajangan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55751",Senin-Minggu 08.00-17.00,4.5,Wisata Budaya & Edukasi,desa wisata,718,Mempelajari budaya dan berbelanja oleh-oleh khas batik kayu,1 Jam,"pelajari budaya di desa wisata ini, interaksi dengan warga sekitar dan pelajari cara membuat kerajinan batik ukir",siang
