id,nama,latitude,longitude,htm_weekday,htm_weekend,deskripsi,image,image2,image3,url_maps,alamat,operating_hours,rating,kategori,url_tiket,akesibilitas,fasilitas,type,akses,dataran,weather,jeniswisata,jumlahrating,anak,lansia,descitinerary,isnight
11,Fort Vredeburg Museum,-7.8002016,110.3663044,3000,3000,"Letak Benteng Vredeburg Yogyakarta di kawasan nol kilometer pusat Kota Yogyakarta menjadikan sebuah daya tarik bagi para wisatawan. Dalam pelayanannya kepada masyarakat, museum Benteng Vredeburg tidak lepas dari unsur-unsur pendidikan karena pada dasarnya museum memiliki dua fungsi yaitu sebagai rekreasi sekaligus tempat pendidikan. Informasi tentang keBudaya dan Sejarahan, kebudayaan dan nilai-nilai luhur kejuangan disampaikan kepada generasi muda dalam nuansa edutainment, yang berasal dari kata education dan entertainment. Demikianlah, Benteng Vredeburg yang sekarang menjadi Museum Benteng Vredeburg Yogyakarta telah melekat dengan Kota Yogyakarta. Latar belakang Budaya dan Sejarah Kota Yogyakarta baik sebagai ibukota Kasultanan Yogyakarta dan ibukota NKRI tidak dapat dipisahkan dengan Budaya dan Sejarah Benteng Vredeburg Yogyakarta. Pelestarian Benteng Vredeburg sebagai museum bukan berarti pengagungan simbol kejayaan kolonial. Akan tetapi tujuannya untuk mendapatkan fungsi baru yang dapat memberikan informasi dan aspirasi perjuangan nasional bagi generasi mendatang.",https://lh5.googleusercontent.com/p/AF1QipPxuysUH7z2DyMMfcb4SmWLjgR9sYNR_UGhUsgT=w426-h240-k-no,https://kebudayaan.jogjakota.go.id/assets/instansi/kebudayaan/gallery/page_20210729_061443.png,https://kebudayaan.jogjakota.go.id/assets/instansi/kebudayaan/gallery/page_20210729_062059.jpg,https://goo.gl/maps/5f688jYrgqoCrZEr8,"Jl. Margo Mulyo No.6, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122",Selasa-Minggu 08.00-15.00,4.6,Wisata Budaya & Edukasi,https://vredeburg-id.translate.goog/id/page/tiket?_x_tr_sl=auto&_x_tr_tl=en&_x_tr_hl=en&_x_tr_pto=in,"ramah difabel, lansia, dan anak-anak",toilet,indoor,mudah,rendah,{current_weather},museum sejarah,15281,yes,yes,Mengunjungi situs peninggalan belanda Vredeburg,no
12,Sindu Kusuma Edupark (SKE),-7.7672973,110.3542486,30000,30000,"Sindu Kusuma Edupark merupakan wahana bermain berbasis edukasi dan hiburan untuk semua usia yang buka paling pagi dan tutup paling malam di Jogjakarta. Destinasi wisata ini menyuguhkan sebuah tempat bermain bagi keluarga yang lengkap dengan berbagai wahana permainan yang seru dan juga menantang. Wahana-wahana seperti Kora-Kora, Bianglala, Waterpark, dan Light Festival menjadi wahana terfavorit bagi para wisatawan. Selain itu tersedia juga restoran berkonsep Industrial Fun Cafe dengan harga yang murah dan terjangkau cocok untuk anda sekeluarga. Semua transaksi di Sindu Kusuma Edupark ini menggunakan kartu khusus yang bisa diperoleh di loket tiket, jadi tidak repot lagi mengeluarkan uang tunai. Selain wahana permainan, di SKE ini juga ada beberapa foto spot yang cukup bagus untuk dijadikan background foto.",https://lh5.googleusercontent.com/p/AF1QipMQimVfjETWFCYXhzNDuNef6mEQpwNQgBWvkgi7=w408-h541-k-no,https://asset.kompas.com/crops/4lBDhnqpnU8yXbnCn3Kb8FhWW5Y=/151x141:676x491/750x500/data/photo/2022/12/21/63a317160291d.png,https://www.anekawisata.com/wp-content/uploads/2019/01/Sindu-Kusuma-Edupark-Jogja.jpg,https://goo.gl/maps/dsH4tFeouksFYWyL6,"Jl. Jambon, Kragilan, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284",Selasa-Minggu 08.00-18.00,4.2,Wisata Buatan,https://skedupark.id/,"ramah difabel, lansia, dan anak-anak","toilet,restoran",outdoor,mudah,rendah,{current_weather},rekreasi,15279,yes,yes,Rekreasi menikmati berbagai wahana di SKE,no
13,Tugu Jogja,-7.7828822,110.3670514,0,0,"Tugu ini sekarang merupakan salah satu objek pariwisata Yogyakarta, dan sering dikenal dengan istilah “Tugu Pal Putih” (pal juga berarti tugu), karena warna cat yang digunakan sejak dulu adalah warna putih. Tugu pal ini berbentuk bulat panjang dengan bola kecil dan ujung yang runcing di bagian atasnya. Jika dilihat dari Keraton Yogyakarta ke arah utara, maka akan terlihat bahwa Jalan Malioboro, Jalan Margo Utomo, Tugu Yogyakarta, dan Jalan A.M. Sangadji membentuk garis lurus menuju puncak Gunung Merapi yang dikenal sebagai Garis Imajiner Yogyakarta.",https://lh5.googleusercontent.com/p/AF1QipOUQyEv1elU3mfc8xPoYJHo-eSuDU4e7x0vpuN4=w427-h240-k-no,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/bf/47/61/yogyakarta-monument.jpg?w=1200&h=-1&s=1,https://media.suara.com/pictures/970x544/2019/10/07/31636-tugu-yogyakarta.jpg,https://goo.gl/maps/34guor6A6aqJSqXN8,"Jl. Jend. Sudirman, Gowongan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233",Buka 24 Jam,4.8,Wisata Budaya & Edukasi,,,,outdoor,mudah,rendah,{current_weather},rekreasi,14072,yes,yes,Bersantai dan menikmati suasana kota di Tugu Jogja,yes
14,Heha Sky View,-7.848530311,110.4787102,10000,10000,"Salah satu destinasi wisata favorit yang menawarkan pemandangan terbaik kota Yogyakarta dan sekitarnya “dari lantai 2”. Terletak di kawasan perbukitan Gunungkidul, HeHa Sky View hanya berjarak 40 menit dari pusat Kota Yogyakarta. Sky Ballon yang dibuat colorful menjadi salah satu wahana yang wajib dicoba. disini terdapat street food yang beraneka ragam dan dapat dinikmati sembari duduk dan mengobrol di bean bag ataupun outdoor area. banyak spot foto keren.",https://lh5.googleusercontent.com/p/AF1QipOPRTP3wtfh3mkoQT43XqF7G49uzKWHwxlU5TKf=w426-h240-k-no,"https://res.klook.com/image/upload/q_85/c_fill,w_750/v1628224238/blog/yar3xooawmmf8fiihmnm.jpg",https://hehaskyview.com/wp-content/uploads/2020/08/DSCF9046-after-resize.jpg,https://goo.gl/maps/7pERFS7jUFCWttkR6,"Jl. Dlingo-Patuk No.2, Patuk, Bukit, Kec. Patuk, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55862",Senin-Minggu 10.00-21.00,4.4,Wisata Buatan,https://hehaskyview.com/,"ramah difabel, lansia, dan anak-anak","toilet,restoran, dan bar",outdoor,mudah,tinggi,{current_weather},rekreasi,13048,yes,yes,Menikmati pemandangan kota Jogja dari Heha Sky View,yes
15,Pantai Goa Cemara,-7.999423,110.248963,4000,4000,"Adalah Kawasan Wisata Terpadu, satu pintu dengan pembagian area yang jelas. Public area memang seperti diutamakan di pantai ini. Jajaran pedagang lokal berpadu dengan ramainya pasar tradisional. Dengan area cakupan luas meliputi wilayah konservasi penyu hijau, wilayah lahan pertanian, daerah wisata, dan pelestarian hutan cemara. Pasar tradisional, wisata pantai, outbond, camping ground, ruang pertemuan, atv, jip wisata offroad gumukpasir, kuliner, dan cinderamata. Dengan dukungan fasilitas publik yang lengkap dan terus berkembang. Fasilitas publik seperti MCK, kantor sekretariat, kantor keamanan, posko SAR, rumah ibadah, pos kesehatan juga tersedia.",https://lh5.googleusercontent.com/p/AF1QipPVZkx5msQDSbQy-GfCPNomL7fWxcv4iErNRs7u=w533-h240-k-no,https://www.wsrentaljogja.com/wp-content/uploads/2018/11/@aiyin_aiyin.jpg,https://www.pantainesia.com/wp-content/uploads/2018/08/pantai-goa-cemara-1248x703.jpg,https://goo.gl/maps/Hvf7iHB2pEs95LzY7,"Jl. Lintas Sel., Patihan, Gadingsari, Kec. Sanden, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55763",Buka 24 Jam,4.4,Wisata Alam,,"ramah difabel, lansia, dan anak-anak",,outdoor,mudah,rendah,{current_weather},pantai,12755,yes,yes,Mengunjungi pantai yang ada di Bantul Pantai Goa Cemara,yes
16,XT Square,-7.8165658,110.3866908,25000,25000,"XT-Square merupakan kawasan yang  dibangun dengan konsep terpadu yang ditawarkan kepada masyarakat dalam satu paket pusat wisata belanja, yakni what to see, what to eat, dan what  to buy. Didesain sebagai ruang publik dengan konsep citywalk,  didukung dengan area kuliner serta area pertunjukan seni semakin menunjang aktifitas wisata belanja yang nyaman dan menyenangkan, XT-Square dibangun untuk kepuasan pengunjung.",https://lh5.googleusercontent.com/p/AF1QipPny1WZ3IExpCFUF2PJxI5cWRxihlU0D9XNyG7g=w520-h240-k-no,https://raskita.com/wp-content/uploads/2019/09/xt-square.jpg,https://rentaljogja.co.id/wp-content/uploads/2018/10/xt-square.jpg,https://goo.gl/maps/5NaAKPBFTt8EJ37o7,"Jl. Veteran No.150-151, Pandeyan, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55161",Senin-Minggu 08.00-21.00,4.3,Wisata Buatan,,"ramah difabel, lansia, dan anak-anak",,indoor,mudah,rendah,{current_weather},rekreasi,12396,yes,yes,Menikmati beragam kesenian di XT Square,yes
17,Kaliadem,-7.582047728,110.4476387,3000,3000,"Bunker Kaliadaem merupakan tempat untuk berlindung dari ganasnya Gunung Merapi. tempat ini menyimpan banyak jejak ganasnya Gunung merapi. di bunker kaliadem terdapat pintu utama yang terbuat dari baja setebal 15 cm, ruangan bungker yang masih memiliki sisa-sisa material merapi, dan bagian atas yang dilapisi batu serta pasir vulkanis",https://lh5.googleusercontent.com/p/AF1QipOVAT-nbRgGGyHbMWHKjPg2Sa0hhCPnUGK6XXAg=w408-h305-k-no,https://jogjakita.co.id/wp-content/uploads/2021/06/dd-6-630x380-1.jpg,https://www.pegipegi.com/travel/wp-content/uploads/2019/05/shutterstock_1096083809.jpg,https://goo.gl/maps/424nJbQCRndRYgR99,"Kinarejo, Hargobinangun, Kec. Pakem, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55582",Buka 24 Jam,4.5,Wisata Alam,,,,outdoor,susah,tinggi,{current_weather},pegunungan,12338,yes,yes,Mengunjungi bunker bersejarah yang ada di kaki gunung Merapi,yes
18,Monumen Yogya Kembali,-7.7495904,110.3696068,15000,15000,"Museum Monumen Jogja Kembali adalah sebuah museum Budaya dan Sejarah perjuangan kemerdekaan Republik Indonesia yang ada di kota Yogyakarta dan dikelola oleh Departemen Kebudayaan dan Pariwisata. Museum yang berada di bagian utara kota ini banyak dikunjungi oleh para pelajar dalam acara darmawisata. Museum Monumen dengan bentuk kerucut ini terdiri dari 3 lantai dan dilengkapi dengan ruang perpustakaan serta ruang serbaguna. Pada rana pintu masuk dituliskan sejumlah 422 nama pahlawan yang gugur di daerah Wehrkreise III (RIS) antara tanggal 19 Desember 1948 sampai dengan 29 Juni 1949. Dalam 4 ruang museum di lantai 1 terdapat benda-benda koleksi: realia, replika, foto, dokumen, heraldika, berbagai jenis senjata, bentuk evokatif dapur umum dalam suasana perang kemerdekaan 1945-1949. Tandu dan dokar (kereta kuda) yang pernah dipergunakan oleh Panglima Besar Jenderal Soedirman juga disimpan di sini (di ruang museum nomor 2). Monumen Jogja kembali beralamat Di jalan raya Ring road Utara Sleman Yogyakarta",https://lh5.googleusercontent.com/p/AF1QipP2L9jab3vZJMpGXyrQKPxf40ts9bk2Q4QsVS_m=w408-h306-k-no,https://wedangkopiprambanan.com/wp-content/uploads/2020/01/monjali-gambar-via-jejakpiknik.jpg,https://raskita.com/wp-content/uploads/2019/09/imgonline-com-ua-resize-VItOARSeyq.jpg,https://goo.gl/maps/AMicSkvrSqkLr8se7,"Jl. Ring Road Utara, Jongkang, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",Selasa-Minggu 08.00-16.00,4.5,Wisata Budaya & Edukasi,https://monjali-jogja.com/,"ramah difabel, lansia, dan anak-anak",,indoor,mudah,rendah,{current_weather},budaya&sejarah,11302,yes,yes,Mempelajari sejarah perjuangan bangsa indonesia di Monumen Yogya Kembali,no
19,Ratu Boko,-7.7705416,110.4894158,40000,40000,"Istana Ratu Boko adalah sebuah bangunan megah yang dibangun pada masa pemerintahan Rakai Panangkaran, salah satu keturunan Wangsa Syailendra. Istana yang awalnya bernama Abhayagiri Vihara (berarti biara di bukit yang penuh kedamaian) ini didirikan untuk tempat menyepi dan memfokuskan diri pada kehidupan spiritual. Berada di istana ini, anda bisa merasakan kedamaian sekaligus melihat pemandangan kota Yogyakarta dan Candi Prambanan dengan latar Gunung Merapi.",https://lh5.googleusercontent.com/p/AF1QipP9AV3Z2_U30hh1Bh4AYsevl_jDAVvRJsDAfdis=w427-h240-k-no,https://garasijogja.com/wp-content/uploads/2018/09/adith_dyah_s.jpg,https://media.suara.com/pictures/970x544/2019/10/17/64283-candi-ratu-boko-instagramattom-sikuncipas.jpg,https://goo.gl/maps/k64SafH9bNb25Uc89,"Jl. Raya Piyungan - Prambanan No.2, Gatak, Bokoharjo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 5572",Selasa-Minggu 07.00-17.00,4.6,Wisata Budaya & Edukasi,https://www.tiket.com/to-do/tiket-keraton-ratu-boko?productID=600e980788c11d049268c402&source=bm&utm_source=google-ttd&utm_medium=ttdAds,"ramah difabel, lansia, dan anak-anak",,outdoor,mudah,rendah,{current_weather},candi,11176,yes,yes,Mengunjungi situs candi Ratu Boko,no
20,Pantai Depok,-8.0137087,110.2914777,10000,10000,"Pantai Depok yang letaknya hanya 1,5 km dari Parangtritis ini memang terkenal di kalangan wisatawan lokal. Selain karena keindahan pantainya, wisata pantai Yogyakarta yang satu ini juga terkenal dengan aneka menu seafood yang rasanya mampu menggoyang lidah. Tidak heran, hampir seluruh warga yang tinggal di sekitar pantai ini berprofesi sebagai nelayan. Itulah kenapa hidangan laut yang diolah di tempat ini sangat istimewa. Sebab memang semua ikan dan seafood yang ada di sini memang masih segar ketika diolah.",https://lh5.googleusercontent.com/p/AF1QipOjN-3L5hO9i7IxYoinQgLevXxAILddS5ar7HLb=w408-h306-k-no,https://o-cdn-cas.sirclocdn.com/parenting/images/pantai-depok.width-800.format-webp.webp,https://statik.tempo.co/data/2019/11/11/id_888131/888131_720.jpg,https://goo.gl/maps/WA8gDqfcpnjZ1Bay6,,Buka 24 Jam,4.3,Wisata Alam,,"ramah difabel, lansia, dan anak-anak",,outdoor,mudah,rendah,{current_weather},pantai,10820,yes,yes,"Mengunjungi pantai yang terkenal di Jogja, Pantai Depok",yes
